feature,media_A,media_N,std_A,std_N,cohens_d,auc,abs_d
wav_energy_L5,0.6191958831885545,0.3872638933515435,0.13302839470292513,0.15486359697539376,1.59210663623503,0.8650780092967068,1.59210663623503
wav_energy_L3,0.09726027169058081,0.2140993412193544,0.059791748940449266,0.10367459336591851,-1.3405615546110714,0.845539675999393,1.3405615546110714
wav_entropy,0.9967690309570344,1.2375300660148418,0.19789193717329726,0.15318853921882022,-1.3815460852652657,0.834920060976855,1.3815460852652657
cvhr_norm,0.5123771274785115,0.324660301302865,0.15242449206944764,0.1451709324217846,1.2648234611580407,0.808678970953506,1.2648234611580407
edr_apnea_power,0.007206538670850694,0.006403693707225303,0.011969027855117716,0.08892485180506282,0.011974366154238214,0.7980090824601045,0.011974366154238214
edr_apnea_norm,0.24948452637110913,0.10682993724377271,0.1705397524928206,0.09098207190602231,1.08065906973447,0.7836845669053606,1.08065906973447
lf_hf_ratio,6.0232323525151115,2.8724718667517117,4.622873118576141,2.564284579892802,0.8711550219363771,0.7735336303692608,0.8711550219363771
lf_norm,0.8020648475681407,0.6634700727981211,0.1145343107657552,0.1565566122844354,0.9923649701305678,0.7735336303692608,0.9923649701305678
hf_norm,0.19793515243185925,0.33652992720187896,0.1145343107657552,0.15655661228443543,-0.9923649701305688,0.7735336303692608,0.9923649701305688
cvhr_power,0.002466360383151301,0.0008965610608711594,0.0026331056435992743,0.001364746534196566,0.776023478660183,0.7718641346936602,0.776023478660183
edr_apnea_resp_ratio,0.9029060004525816,0.2941363278070505,1.1267088704112307,0.4560099332131738,0.7411614735599709,0.7552786343555005,0.7411614735599709
vlf_power,0.0028826134179955987,0.0013340362400290696,0.0031055542003603767,0.002097848059801939,0.5979650697745792,0.7426830376788752,0.5979650697745792
wav_energy_L2,0.0513025454290762,0.0863306028451371,0.04140899495440924,0.05725901321629062,-0.6880792516243497,0.7353267335137652,0.6880792516243497
sd_hr,5.906087330424692,3.8967449983050453,3.073685045414658,3.0707270744133544,0.6540306932344615,0.7319581890431193,0.6540306932344615
wav_energy_L4,0.221607488856372,0.29702441321921086,0.07942023715093116,0.10309274557727076,-0.8071682160022604,0.7201182465712648,0.8071682160022604
edr_resp_power,0.010034776889923496,0.01711602970205697,0.013571601936188636,0.14383661924142283,-0.0655295850947862,0.7056509703720878,0.0655295850947862
sdnn,0.08006525534661744,0.053558821888438204,0.04424425360900795,0.035691188228500675,0.6679279769964654,0.7018025469027411,0.6679279769964654
total_power,0.0046161756093209185,0.0025512963176839596,0.004434439912579428,0.00329237147832049,0.5381824610038646,0.6944979279962168,0.5381824610038646
lf_power,0.0013976075727647498,0.0008187875273221348,0.0014443591928048885,0.0010977154211455399,0.4586669180081154,0.6664617487159343,0.4586669180081154
edr_resp_norm,0.4372370288304934,0.5197808839204563,0.17038043920239912,0.15164594219730884,-0.5153758720497208,0.6486070784886806,0.5153758720497208
wav_energy_L1,0.010633810835416287,0.015598838123299942,0.00992575677260523,0.01673564787115095,-0.35081600045765826,0.6395928109136878,0.35081600045765826
rmssd,0.03916522216464193,0.036919899455718504,0.022847217239480317,0.024855187279850133,0.0935777144978855,0.5442927144750915,0.0935777144978855
nn50,10.582361399584599,10.148245614035087,10.253787836412974,10.65497651292823,0.04141830219854985,0.532001066334153,0.04141830219854985
pnn50,17.416779837842224,17.61239465648295,17.84215497738067,19.84402832903346,-0.010300569561643153,0.5273874897256384,0.010300569561643153
hf_power,0.00033595461856048757,0.0003984725503326816,0.0003805008602850194,0.0006315373360337351,-0.11665662932608852,0.5241780557801278,0.11665662932608852
mean_rr,0.9180138664287439,0.9184599462549097,0.10775326619805893,0.13204786946193056,-0.0036574110624021656,0.5046133467405329,0.0036574110624021656
mean_hr,66.28391636479112,66.79089166368856,7.969171305534145,10.504191816419443,-0.05351480152600633,0.5046132565090206,0.05351480152600633
